,Contador,HRDescripcion,HRPuesto,Eq,HRContador,pos,Actividades,Puesto,ClaseOT,ACant,AHoras,posHRContador,Material,MCantidad
215,M1,INSP_MEC_FILTR_AMERICORP 81FT12,TEC-MEC,MFIL011,MFIL011M1,30,Inspeccion general filtro 4000H,TEC-MEC,PM01,2.0,3.0,MFIL011M130,,
216,M2,PREV_MEC_FILTR_AMERICORP 81FT12,TEC-MEC,MFIL011,MFIL011M2,10,Cambio mangas d colector d filtro 4000H,TEC-MEC,PM01,2.0,6.0,MFIL011M210,,
217,M3,LUBR_MEC_FILTR_AMERICORP 81FT12,TEC-MEC,MFIL011,MFIL011M3,10,Lubric d apoyos valvula rotativa 660H,TEC-MEC,PM01,1.0,0.5,MFIL011M310,2530835,0.01
218,M3,LUBR_MEC_FILTR_AMERICORP 81FT12,TEC-MEC,MFIL011,MFIL011M3,20,Lubric general ventilador 4000H,TEC-MEC,PM01,2.0,0.5,MFIL011M320,,
219,E1,INSP_ELE_FILTR_AMERICORP 81FT12,TEC-ELE,MFIL011,MFIL011E1,10,Inspeccion general motor 1M,TEC-ELE,PM01,2.0,2.5,MFIL011E110,,
220,E2,PREV_ELE_FILTR_AMERICORP 81FT12,TEC-ELE,MFIL011,MFIL011E2,10,Limp exterior motor elect ventilad 4000H,TEC-ELE,PM01,2.0,1.0,MFIL011E210,,
221,E2,PREV_ELE_FILTR_AMERICORP 81FT12,TEC-ELE,MFIL011,MFIL011E2,20,Limp exterior motor electrico 4000H,TEC-ELE,PM01,2.0,1.0,MFIL011E220,,
222,E2,PREV_ELE_FILTR_AMERICORP 81FT12,TEC-ELE,MFIL011,MFIL011E2,30,Mtto general motor valvula rotativ 8000H,TEC-ELE,PM01,2.0,3.5,MFIL011E230,,
223,E2,PREV_ELE_FILTR_AMERICORP 81FT12,TEC-ELE,MFIL011,MFIL011E2,40,Mtto general motor de ventilador 8000H,TEC-ELE,PM01,2.0,4.5,MFIL011E240,,
224,I1,INSP_INS_FILTR_AMERICORP 81FT12,TEC-INS,MFIL011,MFIL011I1,10,Insp general instrumentos de filtro 1M,TEC-INS,PM01,1.0,1.5,MFIL011I110,,
