key_dutie,Resource Type,Cod. Material,Cantidad
3253-PU-326|02-02-04,Materials,3040330,2
3253-PU-326|02-02-06,Materials,2518155,0.1
3253-PU-326|02-03-02,Materials,3040332,1
3253-PU-326|02-04-01,Materials,3040321,1
3322-PU-338|01-01-08,Materials,2530835,0.05
3322-PU-338|02-01-03,Materials,3040306,1
3322-PU-338|02-02-04,Materials,3040307,1
3322-PU-338|02-02-04,Materials,3040308,1
3322-PU-338|02-02-04,Materials,3040326,3
3322-PU-338|02-02-04,Materials,3040327,1
3322-PU-338|02-02-04,Materials,3040328,1
3322-PU-338|02-02-04,Materials,3040329,1
3322-PU-338|02-02-04,Materials,3040330,2
3322-PU-338|02-02-06,Materials,2518155,0.1
3322-PU-338|02-03-02,Materials,3040309,1
3322-PU-338|02-04-01,Materials,3040321,1
2133-CR-202|02-01-04,Materials,2523802,1
2133-CR-202|02-02-04,Materials,2523803,1
2133-CR-202|04-01-03,Materials,3039504,1
2133-CR-202|05-01-03,Materials,3039514,1
2133-CR-202|02-02-04,Materials,2523763,1
2133-CR-202|05-01-06,Materials,2518029,170
2133-CR-202|05-01-12,Materials,2517940,5
2133-CR-202|04-01-08,Materials,2517940,600
2133-CR-202|01-01-09,Materials,2530835,0.1
2133-CR-202|01-08-02,Materials,2523768,1
2133-CR-202|01-09-05,Materials,2523806,1
2133-CR-202|01-09-03,Materials,3039481,2
2133-CR-202|03-03-06,Materials,2530835,0.06
2133-CR-202|04-02-07,Materials,2530835,0.12
2133-CR-202|04-03-07,Materials,2530835,0.12
2133-CR-202|05-02-07,Materials,2530835,0.06
2133-CR-202|01-09-02,Materials,3039665,1
2133-CR-202|02-01-05,Materials,3039673,1
2133-CR-202|01-06-02,Materials,3039527,1
2133-CR-202|02-02-05,Materials,3039627,1
2133-CR-202|02-02-06,Materials,3039608,1
2133-CR-202|02-05-03,Materials,3039623,1
2133-CR-202|02-04-02,Materials,3039646,1
2133-CR-202|02-05-09,Materials,2523807,1
2133-CR-202|01-07-03,Materials,3039525,1
2133-CR-202|01-07-03,Materials,3039526,1
2133-CR-202|02-01-07,Materials,2523810,1
2133-CR-202|02-04-05,Materials,3039544,1
2133-CR-202|02-02-03,Materials,3039657,1
