Asset tag,key_system,System
2263-FL-201,2263-FL-201|02,
2263-FL-201,2263-FL-201|03,
2263-FL-201,2263-FL-201|04,
2263-HT-212,2263-HT-212|01,
2263-HT-212,2263-HT-212|02,
2263-HT-212,2263-HT-212|03,
2263-PU-223,2263-PU-223|01,
2263-PU-223,2263-PU-223|02,
2263-PU-223,2263-PU-223|03,
2263-XM-210,2263-XM-210|01,
2265-PU-241,2265-PU-241|01,
2265-PU-241,2265-PU-241|02,
2265-PU-241,2265-PU-241|03,
2271-SA-202,2271-SA-202|01,
2271-SA-208,2271-SA-208|01,
2271-SA-208,2271-SA-208|02,
2271-TH-201,2271-TH-201|01,
2271-TH-201,2271-TH-201|02,
2271-TH-201,2271-TH-201|03,
2272-PU-216,2272-PU-216|01,
2272-PU-216,2272-PU-216|02,
2272-PU-216,2272-PU-216|03,
2281-CH-228,2281-CH-228|01,
2281-CH-228,2281-CH-228|02,
2281-CH-242,2281-CH-242|01,
2281-CH-242,2281-CH-242|02,
2281-CP-209,2281-CP-209|01,
2281-CP-209,2281-CP-209|02,
2281-CY-203,2281-CY-203|01,
2281-CY-203,2281-CY-203|02,
2281-CY-203,2281-CY-203|03,
2281-DC-201,2281-DC-201|01,
2281-DC-201,2281-DC-201|02,
2281-DC-201,2281-DC-201|03,
2281-FA-206,2281-FA-206|01,
2281-FA-206,2281-FA-206|02,
2281-FA-206,2281-FA-206|03,
2281-FA-216,2281-FA-216|01,
2281-FA-216,2281-FA-216|02,
2281-FA-216,2281-FA-216|03,
2281-FE-207,2281-FE-207|01,
2281-FE-207,2281-FE-207|02,
2281-FE-207,2281-FE-207|03,
2281-FE-208,2281-FE-208|01,
2281-FE-208,2281-FE-208|02,
2281-FE-208,2281-FE-208|03,
2281-ML-203,2281-ML-203|01,
2281-ML-203,2281-ML-203|02,
2281-ML-203,2281-ML-203|03,
2281-ML-203,2281-ML-203|04,
2281-ML-203,2281-ML-203|05,
2281-PU-226,2281-PU-226|01,
2281-PU-226,2281-PU-226|02,
2281-PU-227,2281-PU-227|01,
2281-PU-227,2281-PU-227|02,
2281-PU-227,2281-PU-227|03,
2281-SB-201,2281-SB-201|01,
2281-SB-201,2281-SB-201|02,
2281-SB-203,2281-SB-203|01,
2281-SB-203,2281-SB-203|02,
2281-TK-226,2281-TK-226|01,
2281-TK-226,2281-TK-226|02,
2281-TK-226,2281-TK-226|03,
2281-TK-227,2281-TK-227|01,
2281-TK-227,2281-TK-227|02,
2281-TK-227,2281-TK-227|03,
2282-PU-253,2282-PU-253|01,
2282-PU-253,2282-PU-253|02,
2282-PU-253,2282-PU-253|03,
2282-PU-255,2282-PU-255|01,
2282-PU-255,2282-PU-255|02,
2282-PU-255,2282-PU-255|03,
2282-PU-256,2282-PU-256|01,
2282-PU-256,2282-PU-256|02,
2282-PU-256,2282-PU-256|03,
2282-PU-257,2282-PU-257|02,
2282-PU-257,2282-PU-257|03,
2282-PU-259,2282-PU-259|01,
2282-PU-259,2282-PU-259|02,
2282-PU-289,2282-PU-289|01,
2282-PU-289,2282-PU-289|02,
2282-PU-289,2282-PU-289|03,
2283-PU-244,2283-PU-244|01,
2283-PU-244,2283-PU-244|02,
2283-PU-264,2283-PU-264|02,
2283-PU-264,2283-PU-264|03,
2283-PU-265,2283-PU-265|02,
2283-PU-265,2283-PU-265|03,
2283-PU-267,2283-PU-267|02,
2283-PU-267,2283-PU-267|03,
2283-PU-268,2283-PU-268|01,
2283-PU-268,2283-PU-268|02,
2283-PU-268,2283-PU-268|03,
2284-PU-279,2284-PU-279|01,
2284-PU-279,2284-PU-279|02,
2284-PU-279,2284-PU-279|03,
2284-PU-280,2284-PU-280|01,
2284-PU-280,2284-PU-280|02,
2284-PU-280,2284-PU-280|03,
2284-PU-281,2284-PU-281|01,
2284-PU-281,2284-PU-281|02,
2284-PU-281,2284-PU-281|03,
2284-PU-284,2284-PU-284|01,
2284-PU-284,2284-PU-284|02,
2284-PU-292,2284-PU-292|01,
2284-PU-292,2284-PU-292|02,
2284-PU-292,2284-PU-292|03,
2284-PU-295,2284-PU-295|01,
2284-PU-295,2284-PU-295|02,
2284-PU-295,2284-PU-295|03,
2284-SB-202,2284-SB-202|01,
2284-SB-202,2284-SB-202|02,
2284-TK-215,2284-TK-215|01,
2284-TK-215,2284-TK-215|02,
2284-TK-215,2284-TK-215|03,
2284-TK-216,2284-TK-216|01,
2284-TK-216,2284-TK-216|02,
2287-BL-204,2287-BL-204|01,
2287-BL-204,2287-BL-204|02,
2287-BN-212,2287-BN-212|01,
2287-BN-212,2287-BN-212|02,
2287-DC-209,2287-DC-209|01,
2287-FE-212,2287-FE-212|01,
2287-FE-212,2287-FE-212|02,
2287-FE-212,2287-FE-212|03,
2287-PU-269,2287-PU-269|01,
2287-PU-269,2287-PU-269|02,
2287-PU-269,2287-PU-269|03,
2287-PU-270,2287-PU-270|01,
2287-PU-270,2287-PU-270|02,
2287-PU-270,2287-PU-270|03,
2287-PU-271,2287-PU-271|01,
2287-PU-271,2287-PU-271|02,
2287-PU-271,2287-PU-271|03,
2287-PU-272,2287-PU-272|01,
2287-PU-272,2287-PU-272|02,
2287-PU-272,2287-PU-272|03,
2287-PU-273,2287-PU-273|01,
2287-PU-273,2287-PU-273|02,
2287-PU-273,2287-PU-273|03,
2287-TK-212,2287-TK-212|01,
2287-TK-212,2287-TK-212|02,
2287-TK-212,2287-TK-212|03,
2287-TK-213,2287-TK-213|01,
2287-TK-213,2287-TK-213|02,
2312-PU-230,2312-PU-230|01,
2312-PU-230,2312-PU-230|02,
2312-PU-230,2312-PU-230|03,
2312-TK-214,2312-TK-214|01,
2312-TK-214,2312-TK-214|02,
2315-PU-232,2315-PU-232|01,
2315-PU-232,2315-PU-232|02,
2321-CP-207,2321-CP-207|01,
2321-CP-207,2321-CP-207|02,
2321-CP-207,2321-CP-207|03,
2321-CP-207,2321-CP-207|04,
2323-BL-201,2323-BL-201|01,
2323-BL-201,2323-BL-201|02,
2323-BL-201,2323-BL-201|03,
2323-FA-204,2323-FA-204|01,
2323-FA-204,2323-FA-204|02,
2323-FA-204,2323-FA-204|03,
2323-FA-205,2323-FA-205|01,
2323-FA-205,2323-FA-205|02,
2323-FA-205,2323-FA-205|03,
3111-BN-301,3111-BN-301|01,
3111-BN-301,3111-BN-301|02,
3111-BN-302,3111-BN-302|01,
3111-BN-302,3111-BN-302|02,
3111-CH-301,3111-CH-301|01,
3111-CH-301,3111-CH-301|02,
3111-CH-302,3111-CH-302|01,
3111-CH-302,3111-CH-302|02,
3111-CH-303,3111-CH-303|01,
3111-CH-303,3111-CH-303|02,
3111-CH-344,3111-CH-344|01,
3111-CH-344,3111-CH-344|02,
3111-CR-301,3111-CR-301|01,
3111-CR-301,3111-CR-301|02,
3111-CR-301,3111-CR-301|03,
3111-CR-301,3111-CR-301|04,
3111-CR-301,3111-CR-301|05,
3111-CR-301,3111-CR-301|06,
3111-CR-301,3111-CR-301|07,
3111-CR-301,3111-CR-301|08,
3111-CR-301,3111-CR-301|09,
3111-FE-301,3111-FE-301|01,
3111-FE-301,3111-FE-301|02,
